,pmid,aff,country
1013,26579122,"""Centre for Infectious Disease Control, National Institute for Public Health and the Environment , Bilthoven , Netherlands.""",Netherlands
1014,26579122,"""Theoretical Biology and Bioinformatics, Utrecht University , Utrecht , Netherlands.""",Netherlands
1015,26579122,"""Institute for Translational Vaccinology , Bilthoven , Netherlands.""",Netherlands
1016,19615748,"""School of Life Sciences, Arizona State University, Tempe, AZ 85287, United States.""",United States
1017,26429912,"""Structural Immunology Section, Laboratory of Immunogenetics, NIAID, National Institutes of Health, Rockville, Maryland 20852.""",United States
1018,26429912,"""From the University of Maryland Institute for Bioscience and Biotechnology Research, W. M. Keck Laboratory for Structural Biology, Rockville, Maryland 20850, Department of Cell Biology and Molecular Genetics, University of Maryland, College Park, Maryland 20742.""",United States
1019,26429912,"""From the University of Maryland Institute for Bioscience and Biotechnology Research, W. M. Keck Laboratory for Structural Biology, Rockville, Maryland 20850, Department of Cell Biology and Molecular Genetics, University of Maryland, College Park, Maryland 20742, rmariuzz@umd.edu.""",United States
1020,26429912,"""Lymphocyte Differentiation Section, Laboratory of Molecular Biology and Immunology, NIA, National Institutes of Health, Baltimore, Maryland 21224, and.""",United States
1021,26429912,"""From the University of Maryland Institute for Bioscience and Biotechnology Research, W. M. Keck Laboratory for Structural Biology, Rockville, Maryland 20850.""",United States
1022,25576301,"""\xc2\xa7Novo Nordisk Foundation Center for Protein Research, Faculty of Health and Medical Sciences, University of Copenhagen, Blegdamsvej 3B, DK-2200 Copenhagen, Denmark.""",Denmark
1023,25576301,"""From the \xe2\x80\xa1Department of Proteomics and Signal Transduction, Max-Planck Institute of Biochemistry, Am Klopferspitz 18, D-82152 Martinsried, Germany; \xc2\xa7Novo Nordisk Foundation Center for Protein Research, Faculty of Health and Medical Sciences, University of Copenhagen, Blegdamsvej 3B, DK-2200 Copenhagen, Denmark mmann@biochem.mpg.de.""",Denmark
1024,25576301,"""From the \xe2\x80\xa1Department of Proteomics and Signal Transduction, Max-Planck Institute of Biochemistry, Am Klopferspitz 18, D-82152 Martinsried, Germany;""",Germany
1025,26688548,"""Sloan Kettering Institute, 1275 York Avenue, New York, NY 10065, USA.""",United States
1026,26688548,"""University of Hawaii at Manoa, Department of Chemistry, 2545 McCarthy Mall, Honolulu, HI 96822-2275, USA.""",United States
1027,26688548,"""University of Hawaii at Manoa, Department of Chemistry, 2545 McCarthy Mall, Honolulu, HI 96822-2275, USA; University of Hawaii Cancer Center, 2545 McCarthy Mall, Honolulu, HI 96822-2275, USA. Electronic address: hng@hawaii.edu.""",United States
1028,26688548,"""Eureka Therapeutics Inc., 5858 Horton Street, Emeryville, CA 94608, USA.""",United States
1029,26688548,"""Sloan Kettering Institute, 1275 York Avenue, New York, NY 10065, USA; Weill Cornell Medical College, 1305 York Avenue, New York, NY 10021, USA.""",United States
1030,22424782,"""Biochemistry and Molecular Biology, Bio21 Molecular Science and Biotechnology Institute, University of Melbourne, 30 Flemington Rd, Parkville, VIC, Australia.""",Australia
1031,26577013,"""Department of Clinical Laboratory, Second Affiliated Hospital and Yuying Children&#x27;s Hospital of Wenzhou Medical University, Xueyuan West Road.""",China
1032,26577013,"""Institute of Arboviruses, School of Basic Medical Sciences, Wenzhou Medical University, Chashan, Wenzhou 325000.""",China
1033,26577013,"""Department of Liver Disease, Second People&#x27;s Hospital of Ningbo, Ningbo 315010.""",China
1034,26577013,"""Department of Microbiology and Immunology, School of Basic Medical Sciences, Wenzhou Medical University, Chashan, Wenzhou 325000, China.""",China
1035,25418920,"""Monash University, Clayton, Victoria, Australia.""",Australia
1036,26728094,"""Institute for Research in Immunology and Cancer, Universit\xc3\xa9 de Montr\xc3\xa9al, PO Box 6128 Station Centre-Ville, Montreal, Quebec, Canada H3C 3J7.""",Canada
1037,26728094,"""Department of Medicine, Faculty of Medicine, Universit\xc3\xa9 de Montr\xc3\xa9al, PO Box 6128 Station Centre-Ville, Montreal, Quebec, Canada H3C 3J7.""",Canada
1038,26728094,"""Department of Computer Science and Operations Research, Faculty of Arts and Sciences, Universit\xc3\xa9 de Montr\xc3\xa9al, PO Box 6128 Station Centre-Ville, Montreal, Quebec, Canada H3C 3J7.""",Canada
1039,26728094,"""Department of Chemistry, Universit\xc3\xa9 de Montr\xc3\xa9al, PO Box 6128 Station Centre-Ville, Montreal, Quebec, Canada H3C 3J7.""",Canada
1040,26728094,"""Division of Hematology, H\xc3\xb4pital Maisonneuve-Rosemont, 5415 de l&#x27;Assomption Boulevard, Montreal, Quebec, Canada H1T 2M4.""",Canada
1041,26768311,"""Institute for Molecular Bioscience, University of Queensland, Brisbane, Australia.""",Australia
1042,26768311,"""Veterans Administration Tennessee Valley Healthcare System, Nashville, TN, USA.""",United States
1043,26768311,"""Department of Biological Sciences, University of Texas at El Paso, El Paso, TX, USA.""",United States
1044,26768311,"""Department of Biochemistry, Vanderbilt University School of Medicine, Nashville, TN, USA.""",United States
1045,26768311,"""Department of Microbiology and Immunology, University of Oklahoma Health Science Centre, Oklahoma City, OK, USA.""",United States
1046,26768311,"""Department of Pathology, Microbiology and Immunology, Nashville, TN, USA.""",United States
1047,26771180,"""Laboratory of Medical Parasitology, Biotechnology and Biomolecules, LR11-IPT-06, Pasteur Institute of Tunis, Tunis, Tunisia.""",Tunisia
1048,26771180,"""UPSP EGEAL Institut Polytechnique LaSalle Beauvais, Beauvais, France.""",France
1049,26771180,"""Laboratory of Immunology, Charles Nicolle Hospital, Tunis, Tunisia.""",Tunisia
1050,26771180,"""University of Tunis El Manar, Tunis, Tunisia.""",Tunisia
1051,26771180,"""Laboratory of Transmission, Control, and Immunobiology of Infections-LR11IPT02, Pasteur Institute of Tunis, Tunis, Tunisia.""",Tunisia
1052,26771180,"""Department of Pathology, Charles Nicolle Hospital and Faculty of Medicine of Tunis, Tunis, Tunisia.""",Tunisia
1053,22869377,"""Department of Dermatology, Venerology, and Allergology, Charit\xc3\xa9-Universit\xc3\xa4tsmedizin Berlin, 10098 Berlin, Germany.""",Germany
1054,26541133,"""Department of Endocrinology, First Affiliated Hospital of Nanjing Medical University, 300 Guangzhou Road, Nanjing, Jiangsu, China.""",China
1055,26541133,"""Department of Endocrinology, First Affiliated Hospital of Nanjing Medical University, 300 Guangzhou Road, Nanjing, Jiangsu, China. Electronic address: zhangmei@njmu.edu.cn.""",China
1056,26541133,"""INSERM, U1016, Cochin Institute, Paris, France; CNRS, UMR8104, Cochin Institute, Paris, France; Paris Descartes University, Sorbonne Paris Cit\xc3\xa9, Paris, France; Assistance Publique H\xc3\xb4pitaux de Paris, Dept. of Diabetology, Cochin Hospital, Paris, France.""",France
1057,26541133,"""Department of Barbara Davis Center for Childhood Diabetes, University of Colorado at Denver and Health Sciences Center, USA.""",United States
1058,26541133,"""Department of Endocrinology, First Affiliated Hospital of Nanjing Medical University, 300 Guangzhou Road, Nanjing, Jiangsu, China; Center for Biotechnology and Genomic Medicine, Medical College of Georgia, Georgia Regents University, Augusta, GA, USA.""",United States
1059,26748477,"""Freie Universit\xc3\xa4t Berlin, Berlin, Germany.""",Germany
1060,26748477,"""Universit\xc3\xa4t Bonn, Bonn, Germany.""",Germany
1061,26748477,"""Charit\xc3\xa9-Universit\xc3\xa4tsmedizin Berlin and Freie Universit\xc3\xa4t Berlin, Berlin, Germany.""",Germany
1062,26748477,"""Universit\xc3\xa4t Basel, Basel, Switzerland.""",Switzerland
1063,26748477,"""Ziegler Biosolutions, Waldshut-Tiengen, Germany.""",Germany
1064,26731261,"""Institute of Immunology and Microbiology, Faculty of Health and Medical Sciences, University of Copenhagen, Copenhagen, Denmark.""",Denmark
1065,26731261,"""Instituto de Investigaciones Biotecnol\xc3\xb3gicas, Universidad de San Mart\xc3\xadn, San Mart\xc3\xadn, Buenos Aires, Argentina.""",Argentina
1066,26731261,"""Department of Infectious Disease Immunology, Statens Serum Institute, Copenhagen, Denmark.""",Denmark
1067,26731261,"""Department of Systems Biology, Center for Biological Sequence Analysis, Technical University of Denmark, Lyngby, Denmark.""",Denmark
1068,26597986,"""Department of Microbiology and Immunology, University of Oklahoma Health Sciences Center, Oklahoma City, Oklahoma, USA.""",United States
1069,26597986,"""Department of Biomedical Sciences, College of Veterinary Medicine, Oregon State University, Corvallis, Oregon, USA brian.dolan@oregonstate.edu.""",United States
1070,26597986,"""Department of Biomedical Sciences, College of Veterinary Medicine, Oregon State University, Corvallis, Oregon, USA.""",United States
1071,26754738,"""Departments of Chemistry and Pathology, University of Virginia, Charlottesville, VA, 222904, USA.""",United States
1072,26754738,"""La Jolla Institute for Allergy and Immunology, 9420 Athena Circle, La Jolla, CA, 92037, USA.""",United States
1073,26754738,"""Department of Microbiology and Immunology, Albert Einstein College of Medicine, 1300 Morris Park Avenue, Bronx, NY, 10461, USA.""",United States
1074,26754738,"""La Jolla Institute for Allergy and Immunology, 9420 Athena Circle, La Jolla, CA, 92037, USA. alex@liai.org.""",United States
1075,26754738,"""Department of Medicine (Division of Endocrinology), Albert Einstein College of Medicine, 1300 Morris Park Avenue, Bronx, NY, 10461, USA.""",United States
1076,26754738,"""Department of Chemistry, University of Virginia, Charlottesville, VA, 222904, USA.""",United States
1077,24715725,"""Department of Biology, Technion-Israel Institute of Technology, Haifa 32000, Israel.""",Israel
1078,26758806,"""Division of Infection and Immunity, Cardiff University School of Medicine, Henry Wellcome building, Heath Park, Cardiff, CF14 4XN, United Kingdom.""",United Kingdom
1079,26758806,"""Immunocore Limited, 101 Park Drive, Milton Park, Abingdon, Oxon, OX14 4RX, United Kingdom.""",United Kingdom
1080,26917722,"""From the Division of Infection and Immunity and Systems Immunity Research Institute, Cardiff University School of Medicine, Heath Park, Cardiff CF14 4XN, United Kingdom.""",United Kingdom
1081,26917722,"""From the Division of Infection and Immunity and Systems Immunity Research Institute, Cardiff University School of Medicine, Heath Park, Cardiff CF14 4XN, United Kingdom coledk@cf.ac.uk.""",United Kingdom
1082,26824387,"""Department of Microbiology and Immunology, University at Buffalo School of Medicine, Buffalo, United States.""",United States
1083,26824387,"""Center for Biological Sequence Analysis, Technical University of Denmark, Kongens Lyngby, Denmark.""",Denmark
1084,26824387,"""University of Chicago, Chicago, United States.""",United States
1085,26824387,"""La Jolla Institute for Allergy and Immunology, La Jolla, United States.""",United States
1086,26824387,"""Department of Microbiology and Immunology, University of Oklahoma Health Sciences Center, Oklahoma City, United States.""",United States
1087,26824387,"""Instituto de Investigaciones Biotecnol\xc3\xb3gicas, Universidad Nacional de San Mart\xc3\xadn, Buenos Aires, Argentina.""",Argentina
1088,26824387,"""Pure MHC LLC, Austin, United States.""",United States
1089,26854383,"""N\xc3\xbacleo de Biotecnolog\xc3\xada Curauma, Pontificia Universidad Cat\xc3\xb3lica de Valpara\xc3\xadso, Avenida Universidad 330, Curauma, Valpara\xc3\xadso, Chile.""",Chile
1090,26854383,"""Departament de Fisicoqu\xc3\xadmica, Facultat de Farm\xc3\xa0cia and Institut de Biomedicina (IBUB), Universitat de Barcelona, Barcelona, Spain.""",Spain
1091,26854383,"""Laboratorio de Parasitolog\xc3\xada Molecular, Pontificia Universidad Javeriana, Carrera 7 No. 43-82, Bogot\xc3\xa1 D.C., Colombia. Electronic address: cpuerta@javeriana.edu.co.""",Colombia
1092,26854383,"""Grupo de Inmunobiolog\xc3\xada y Biolog\xc3\xada Celular, Pontificia Universidad Javeriana, Carrera 7 No. 43-82, Bogot\xc3\xa1 D.C., Colombia.""",Colombia
1093,26854383,"""Grupo de Ciencias B\xc3\xa1sicas M\xc3\xa9dicas, Facultad de Medicina, Universidad de los Andes, Carrera 1 No. 18A-10, Bogot\xc3\xa1 D.C., Colombia.""",Colombia
1094,26854383,"""Instituto de Arritmias Joseph Brugada, Fundaci\xc3\xb3n Cl\xc3\xadnica Abood Shaio, Diagonal 115A No. 70C-75, Bogot\xc3\xa1 D.C., Colombia.""",Colombia
1095,26854383,"""Instituto de Parasitolog\xc3\xada y Biomedicina L\xc3\xb3pez Neyra, Consejo Superior de Investigaciones Cient\xc3\xadficas (IPBLN-CSIC), Parque Tecnol\xc3\xb3gico de Ciencias de la Salud, Avenida del Conocimiento, s/n.18016, Granada, Spain.""",Spain
1096,26854383,"""Laboratorio de Parasitolog\xc3\xada Molecular, Pontificia Universidad Javeriana, Carrera 7 No. 43-82, Bogot\xc3\xa1 D.C., Colombia; Grupo de Inmunobiolog\xc3\xada y Biolog\xc3\xada Celular, Pontificia Universidad Javeriana, Carrera 7 No. 43-82, Bogot\xc3\xa1 D.C., Colombia; Instituto de Parasitolog\xc3\xada y Biomedicina L\xc3\xb3pez Neyra, Consejo Superior de Investigaciones Cient\xc3\xadficas (IPBLN-CSIC), Parque Tecnol\xc3\xb3gico de Ciencias de la Salud, Avenida del Conocimiento, s/n.18016, Granada, Spain.""",Spain
1097,26811146,"""Immunology Unit, Department of Cell Biology, Physiology and Immunology and Institut de Biotecnologia i Biomedicina, Universitat Aut\xc3\xb2noma de Barcelona , 08193 Bellaterra, Spain.""",Spain
1098,26811146,"""Proteobotics SL, Spanish National Biotechnology Centre (CSIC), Darwin 3, 28049 Madrid, Spain.""",Spain
1099,26811146,"""Proteomics Unit, Spanish National Biotechnology Centre (CSIC), Darwin 3, 28049 Madrid, Spain.""",Spain
1100,26758079,"""Hannover Medical School, Institute for Transfusion Medicine, Feodor-Lynen-Str. 5, 30625, Hannover, Germany.""",Germany
1101,26758079,"""Hannover Medical School, Institute for Transfusion Medicine, Feodor-Lynen-Str. 5, 30625, Hannover, Germany. bade-doeding.christina@mh-hannover.de.""",Germany
1102,27058226,"""Quantitative Biology Center, University of T\xc3\xbcbingen, T\xc3\xbcbingen, Germany.""",Germany
1103,27058226,"""German Cancer Consortium (DKTK), DKFZ Partner Site, T\xc3\xbcbingen, Germany.""",Germany
1104,27058226,"""Applied Bioinformatics, Department of Computer Science, Center for Bioinformatics, University of T\xc3\xbcbingen, T\xc3\xbcbingen, Germany.""",Germany
1105,27058226,"""Clinical Cooperation Unit Translational Immunology, German Cancer Consortium (DKTK), DKFZ Partner Site, T\xc3\xbcbingen, Germany.""",Germany
1106,27058226,"""Department of Hematology and Oncology, University of T\xc3\xbcbingen, T\xc3\xbcbingen, Germany.""",Germany
1107,27058226,"""Max Planck Institute for Developmental Biology, T\xc3\xbcbingen, Germany.""",Germany
1108,27058226,"""Department of Immunology, Institute for Cell Biology, University of T\xc3\xbcbingen, T\xc3\xbcbingen, Germany.""",Germany
1109,26983786,"""Department of Pathology and Laboratory Medicine, Emory University, Atlanta, GA 30329.""",Gabon
1110,26983786,"""Infection and Immunity Program and Department of Biochemistry and Molecular Biology, Biomedicine Discovery Institute, Monash University, Clayton, Victoria 3800, Australia; Australian Research Council Centre of Excellence for Advanced Molecular Imaging, Monash University, Clayton, Victoria 3800, Australia;""",Australia
1111,26983786,"""Department of Medicine, University of Alabama at Birmingham, Birmingham, AL 35294; paulg@uab.edu.""",Albania
1112,26983786,"""Microsoft Research, Redmond, WA 98052;""",United States
1113,26983786,"""Institute of Infection and Immunity, Cardiff University School of Medicine, Cardiff CF14 4XN, United Kingdom; Infection and Immunity Program and Department of Biochemistry and Molecular Biology, Biomedicine Discovery Institute, Monash University, Clayton, Victoria 3800, Australia; Australian Research Council Centre of Excellence for Advanced Molecular Imaging, Monash University, Clayton, Victoria 3800, Australia;""",Australia
1114,26983786,"""Institute of Infection and Immunity, Cardiff University School of Medicine, Cardiff CF14 4XN, United Kingdom; Human Immunology Section, Vaccine Research Center, National Institute of Allergy and Infectious Diseases, National Institutes of Health, Bethesda, MD 20892; and.""",Moldova
1115,26983786,"""Department of Medicine, University of Alabama at Birmingham, Birmingham, AL 35294;""",Albania
1116,26983786,"""Infection and Immunity Program and Department of Biochemistry and Molecular Biology, Biomedicine Discovery Institute, Monash University, Clayton, Victoria 3800, Australia;""",Australia
1117,26983786,"""Institute of Infection and Immunity, Cardiff University School of Medicine, Cardiff CF14 4XN, United Kingdom;""",United Kingdom
1118,27045007,"""Infection and Immunity Program, Biomedicine Discovery Institute, Monash University, Clayton, Victoria 3800, Australia Department of Biochemistry and Molecular Biology, Monash University, Clayton, Victoria 3800, Australia Australian Research Council Centre of Excellence in Advanced Molecular Imaging, Monash University, Clayton, Victoria 3800, Australia jamie.rossjohn@monash.edu agbrooks@unimelb.edu.au julian.vivian@monash.edu.""",Australia
1119,27045007,"""Infection and Immunity Program, Biomedicine Discovery Institute, Monash University, Clayton, Victoria 3800, Australia Department of Biochemistry and Molecular Biology, Monash University, Clayton, Victoria 3800, Australia Australian Research Council Centre of Excellence in Advanced Molecular Imaging, Monash University, Clayton, Victoria 3800, Australia.""",Australia
1120,27045007,"""IRCCS Ospedale Pediatrico Bambino Ges\xc3\xb9, 00146 Rome, Italy.""",Italy
1121,27045007,"""Infection and Immunity Program, Biomedicine Discovery Institute, Monash University, Clayton, Victoria 3800, Australia Department of Biochemistry and Molecular Biology, Monash University, Clayton, Victoria 3800, Australia Australian Research Council Centre of Excellence in Advanced Molecular Imaging, Monash University, Clayton, Victoria 3800, Australia Institute of Infection and Immunity, Cardiff University School of Medicine, Heath Park, Cardiff CF14 4XN, Wales, UK jamie.rossjohn@monash.edu agbrooks@unimelb.edu.au julian.vivian@monash.edu.""",United Kingdom
1122,27045007,"""Department of Microbiology and Immunology, Peter Doherty Institute for Infection and Immunity, The University of Melbourne, Parkville, Victoria 3010, Australia.""",Australia
1123,27045007,"""Cancer and Inflammation Program, National Cancer Institute-Frederick, Frederick, MD 21701.""",Moldova
1124,27045007,"""Institute of Infection and Immunity, Cardiff University School of Medicine, Heath Park, Cardiff CF14 4XN, Wales, UK Human Immunology Section, Vaccine Research Center, National Institute of Allergy and Infectious Diseases, National Institutes of Health, Bethesda, MD 20892.""",Moldova
1125,27045007,"""Infection and Immunity Program, Biomedicine Discovery Institute, Monash University, Clayton, Victoria 3800, Australia.""",Australia
1126,27045007,"""Department of Microbiology and Immunology, Peter Doherty Institute for Infection and Immunity, The University of Melbourne, Parkville, Victoria 3010, Australia jamie.rossjohn@monash.edu agbrooks@unimelb.edu.au julian.vivian@monash.edu.""",Australia
1127,27045007,"""IRCCS Istituto Giannina Gaslini, 16148 Genoa, Italy.""",Italy
1128,27045007,"""Department of Experimental Medicine, University of Genova, 16132 Genoa, Italy IRCCS AOU San Martino-IST (National Institute for Cancer Research), 16132 Genoa, Italy.""",Italy
1129,27036003,"""Infection and Immunity Program, Monash University, Clayton, VIC 3800, Australia; Department of Biochemistry and Molecular Biology, Biomedicine Discovery Institute, Monash University, Clayton, VIC 3800, Australia;""",Australia
1130,27036003,"""Menzies School of Health Research, Darwin, NT 0810, Australia;""",Australia
1131,27036003,"""Infection and Immunity Program, Monash University, Clayton, VIC 3800, Australia; Department of Biochemistry and Molecular Biology, Biomedicine Discovery Institute, Monash University, Clayton, VIC 3800, Australia; Australian Research Council Centre of Excellence for Advanced Molecular Imaging, Monash University, Clayton, VIC 3800, Australia pcd@unimelb.edu.au stephanie.gras@monash.edu kkedz@unimelb.edu.au.""",Australia
1132,27036003,"""Department of Microbiology and Immunology, University of Melbourne, at the Peter Doherty Institute for Infection and Immunity, Melbourne, VIC 3000, Australia;""",Australia
1133,27036003,"""Division of Geriatric Medicine and Gerontology, Department of Medicine, Johns Hopkins University School of Medicine, Baltimore, MD 21205;""",Moldova
1134,27036003,"""Infection and Immunity Program, Monash University, Clayton, VIC 3800, Australia; Department of Biochemistry and Molecular Biology, Biomedicine Discovery Institute, Monash University, Clayton, VIC 3800, Australia; Institute of Infection and Immunity, Cardiff University School of Medicine, Cardiff CF14 4XN, United Kingdom; Australian Research Council Centre of Excellence for Advanced Molecular Imaging, Monash University, Clayton, VIC 3800, Australia.""",Australia
1135,27036003,"""Indigenous Research Network, Griffith University, Brisbane, QLD 4111 Australia;""",Australia
1136,27036003,"""Department of Immunology, St Jude Children&#x27;s Research Hospital, Memphis, TN 38105;""",Tunisia
1137,27036003,"""Department of Microbiology and Immunology, University of Melbourne, at the Peter Doherty Institute for Infection and Immunity, Melbourne, VIC 3000, Australia; pcd@unimelb.edu.au stephanie.gras@monash.edu kkedz@unimelb.edu.au.""",Australia
1138,27036003,"""Department of Microbiology and Immunology, University of Melbourne, at the Peter Doherty Institute for Infection and Immunity, Melbourne, VIC 3000, Australia; Department of Immunology, St Jude Children&#x27;s Research Hospital, Memphis, TN 38105; pcd@unimelb.edu.au stephanie.gras@monash.edu kkedz@unimelb.edu.au.""",Tunisia
1139,27036003,"""Institute of Infection and Immunity, Cardiff University School of Medicine, Cardiff CF14 4XN, United Kingdom;""",United Kingdom
1140,26962231,"""Department of Pediatric Immunology, Allergology and Pneumology, Hannover Medical School, 30625 Hannover, Germany; and.""",Germany
1141,26962231,"""Division of Immunodermatology and Allergy Research, Department of Dermatology and Allergy, Hannover Medical School, 30625 Hannover, Germany; roesner.lennart@mh-hannover.de.""",Germany
1142,26962231,"""Division of Immunopathology, Department of Pathophysiology and Allergy Research, Center for Pathophysiology, Infectiology and Immunology, Medical University of Vienna, 1090 Vienna, Austria;""",Austria
1143,26962231,"""Institute for Transplant Immunology, Integrated Research and Treatment Center Transplantation, Hannover Medical School, 30625 Hannover, Germany.""",Germany
1144,26962231,"""Division of Immunodermatology and Allergy Research, Department of Dermatology and Allergy, Hannover Medical School, 30625 Hannover, Germany;""",Germany
1145,26962231,"""Institute for Transfusion Medicine, Hannover Medical School, 30625 Hannover, Germany;""",Germany
1146,25056881,"""Division of Vaccine Discovery, La Jolla Institute for Allergy and Immunology, La Jolla, California, USA daniela@liai.org.""",United States
1147,25056881,"""Division of Vaccine Discovery, La Jolla Institute for Allergy and Immunology, La Jolla, California, USA.""",United States
1148,25617474,"""Laboratory of Cellular and Molecular Immunology, Gavin Herbert Eye Institute, University of California Irvine, School of Medicine, Irvine, CA 92697; Department of Molecular Biology and Biochemistry, University of California Irvine, School of Medicine, Irvine, CA 92697; and Institute for Immunology, University of California Irvine, School of Medicine, Irvine, CA 92697 Lbenmoha@uci.edu.""",Canada
1149,25617474,"""Stem Cell Research Center, University of California Irvine, Irvine, CA 92697;""",Canada
1150,25617474,"""Laboratory of Cellular and Molecular Immunology, Gavin Herbert Eye Institute, University of California Irvine, School of Medicine, Irvine, CA 92697; Virology Research, Gavin Herbert Eye Institute and Department of Ophthalmology, University of California Irvine, School of Medicine, Irvine, CA 92697; Department of Microbiology and Molecular Genetics, University of California Irvine, School of Medicine, Irvine, CA 92697; Center for Virus Research, University of California Irvine, Irvine, CA 92697;""",Canada
1151,25617474,"""Laboratory of Cellular and Molecular Immunology, Gavin Herbert Eye Institute, University of California Irvine, School of Medicine, Irvine, CA 92697;""",Canada
1152,27238970,"""Department of Biochemistry, University of Illinois, 600 S. Matthews Ave., Urbana, IL 61801, USA.""",United States
1153,27238970,"""Department of Chemistry and Biochemistry and the Harper Cancer Research Institute, University of Notre Dame, 1234 Notre Dame Avenue, South Bend, IN 46557, USA.""",United States
1154,27238970,"""Department of Molecular and Cellular Biochemistry, University of Kentucky, Lexington, KY 40506, USA.""",United States
1155,26929215,"""From the \xe2\x80\xa1Department of Biochemistry and Molecular Biology, Monash University, Clayton, VIC 3800, Australia anthony.purcell@monash.edu.""",Australia
1156,26929215,"""From the \xe2\x80\xa1Department of Biochemistry and Molecular Biology, Monash University, Clayton, VIC 3800, Australia.""",Australia
1157,25645385,"""Oncogenomics Research Group, QIMR Berghofer Medical Research Institute, Herston, Brisbane, Qld, Australia.""",Australia
1158,11466336,"""Department of Microbiology, Carter Immunology Center, University of Virginia Health Sciences Center, Charlottesville, VA 22908, USA.""",United States
1159,27070377,"""1 Institute for Medical Virology, University Hospital T\xc3\xbcbingen , T\xc3\xbcbingen, Germany .""",Germany
1160,27070377,"""2 Department of Immunology, University of T\xc3\xbcbingen , T\xc3\xbcbingen, Germany .""",Germany
1161,27094591,"""Department of Dermatology and Skin Science, University of British Columbia, Vancouver, British Columbia, Canada. Electronic address: kmcelwee@mail.ubc.ca.""",Canada
1162,27094591,"""Department of Dermatology and Skin Science, Vancouver General Hospital, Vancouver, British Columbia, Canada.""",Canada
1163,27094591,"""Department of Dermatology and Skin Science, University of British Columbia, Vancouver, British Columbia, Canada; Department of Dermatology and Skin Science, Vancouver General Hospital, Vancouver, British Columbia, Canada.""",Canada
1164,27094591,"""Department of Dermatology and Skin Science, University of British Columbia, Vancouver, British Columbia, Canada.""",Canada
1165,15118850,"""Department of Transfusion Medicine, Hannover Medical School, Carl-Neuberg-Strasse 1, 30625, Hannover, Germany.""",Germany
1166,27467910,"""Department of Immunology, Institute of Cell Biology, University of T\xc3\xbcbingen , T\xc3\xbcbingen, Germany.""",Germany
1167,27467910,"""Institute of Pathology, University Hospital of T\xc3\xbcbingen , T\xc3\xbcbingen, Germany.""",Germany
1168,27467910,"""Department of Obstetrics and Gynecology, University Hospital of T\xc3\xbcbingen , T\xc3\xbcbingen, Germany.""",Germany
1169,27467910,"""Department of Immunology, Institute of Cell Biology, University of T\xc3\xbcbingen, T\xc3\xbcbingen, Germany; German Cancer Consortium (DKTK), DKFZ partner site T\xc3\xbcbingen, T\xc3\xbcbingen, Germany.""",Germany
1170,27467910,"""Department of Clinical and Experimental Transfusion Medicine, University Hospital of T\xc3\xbcbingen , T\xc3\xbcbingen, Germany.""",Germany
1171,27467910,"""Institute of Pathology, University Hospital of T\xc3\xbcbingen, T\xc3\xbcbingen, Germany; German Cancer Consortium (DKTK), DKFZ partner site T\xc3\xbcbingen, T\xc3\xbcbingen, Germany.""",Germany
1172,20220067,"""Institute for Transfusion Medicine, Hannover Medical School, Hannover, Germany.""",Germany
1173,17308301,"""Centro de Biolog\xc3\xada Molecular Severo Ochoa (Consejo Superior de Investigaciones Cient\xc3\xadficas and Universidad Aut\xc3\xb3noma de Madrid), Facultad de Ciencias, Universidad Aut\xc3\xb3noma, 28049 Madrid, Spain.""",Spain
1174,27057987,"""Department for Viral Immunology, Heinrich-Pette-Institute, Hamburg, Germany. Electronic address: marcus.altfeld@hpi.uni-hamburg.de.""",Germany
1175,27057987,"""Department of Internal Medicine, University Hospital Eppendorf, Hamburg, Germany.""",Germany
1176,27057987,"""Department for Viral Immunology, Heinrich-Pette-Institute, Hamburg, Germany.""",Germany
1177,27057987,"""Department of Gastroenterology, Hepatology and Endocrinology, Hannover Medical School, Hannover, Germany.""",Germany
1178,27057987,"""Ragon Institute of MGH, MIT, and Harvard, Cambridge, MA, USA.""",United States
1179,27057987,"""Ragon Institute of MGH, MIT, and Harvard, Cambridge, MA, USA; Cancer and Inflammation Program, Leidos Biomedical Research, Inc., Frederick National Laboratory for Cancer Research, Frederick, MD, USA.""",United States
1180,22898188,"""Department of Clinical Oncology, Leiden University Medical Center, The Netherlands.""",Netherlands
1181,27385781,"""Department of Microbiology and Immunology, College of Medicine, University of Illinois, Chicago, IL 60612;""",Israel
1182,27385781,"""Department of Microbiology and Immunology, College of Medicine, University of Illinois, Chicago, IL 60612; mbouvier@uic.edu.""",Israel
1183,27385781,"""Department of Medicinal Chemistry and Pharmacognosy, College of Pharmacy, University of Illinois, Chicago, IL 60612; and Center for Biomolecular Sciences, College of Pharmacy, University of Illinois, Chicago, IL 60607.""",Israel
1184,26033882,"""Department of Hematology, Leiden University Medical Centre, Leiden, The Netherlands.""",Netherlands
1185,26033882,"""Department of Microbiology, National University of Singapore, Singapore.""",Singapore
1186,26033882,"""Department of Oncology, Herlev University Hospital, Copenhagen, Denmark.""",Denmark
1187,26033882,"""Department of Hematology, Center for Cancer Immune Therapy, Herlev University Hospital, Copenhagen, Denmark.""",Denmark
1188,26033882,"""Section for Immunology and Vaccinology, National Veterinary Institute, Technical University of Denmark, Copenhagen, Denmark.""",Denmark
1189,26033882,"""Department of Biological Sciences and the Immunology Program, National University of Singapore, Singapore.""",Singapore
