,type,affiliation
540,university,"""Oppenheimer Atherosclerosis Research Center, Department of Cardiology, Smidt Heart Institute, Cedars-Sinai Medical Center, Los Angeles, California, USA."""
541,university,"""Medical Faculty, Center for Diabetes Research and Welbio, Universit\xc3\xa9 Libre de Bruxelles, Brussels, Belgium."""
542,hospital,"""Beijing YouAn Hospital, Capital Medical University, Beijing 100069, PR China."""
543,private,"""Center for Cell Engineering, Memorial Sloan Kettering Cancer Center, New York, NY, USA. klebanoc@mskcc.org."""
544,university,"""Division of Medical Oncology, School of Medicine, University of Colorado, Aurora, Colorado; Department of Medical Oncology, Mayo Clinic, Rochester, Minnesota. Electronic address: robert.doebele@ucdenver.edu."""
545,university,"""Department of Medical Oncology and Cancer Biology, Dana-Farber Cancer Institute, Harvard Medical School, Boston, MA, 02215, USA. jwang@crystal.harvard.edu."""
546,institute,"""Centro de Biolog\xc3\xada Molecular Severo Ochoa (CSIC-UAM), 28049 Madrid, Spain; Centro Nacional de Microbiolog\xc3\xada, Instituto de Salud Carlos III, 28220 Majadahonda Madrid, Spain. Electronic address: elorente@isciii.es."""
547,university,"""Cancer Vaccine Center, Dana-Farber Cancer Institute, and Department of Medicine, Harvard Medical School, Boston, MA 02115; Computer Science Department, Metropolitan College, Boston University, Boston, MA 02115; and."""
548,university,"""TRON GmbH - Translational Oncology at the University Medical Center of Johannes Gutenberg University, Mainz, Germany."""
549,institute,"""Austrian Academy of Sciences, Rennweg 10, 6020 Innsbruck, Austria."""
550,university,"""Department of Biochemistry and Molecular Genetics, University of Colorado Anschutz Medical Campus, Aurora, USA."""
551,university,"""Department of Melanoma Medical Oncology, The University of Texas MD Anderson Cancer Center, Houston, Texas."""
552,university,"""Department of Pharmaceutical Engineering, School of Pharmacy and Bioengineering, Chongqing University of Technology, Chongqing, China."""
553,university,"""Department of Surgery, The Pennsylvania State University College of Medicine, Hershey, PA 17033, USA."""
554,university,"""Centro de Biolog\xc3\xada Molecular Severo Ochoa (Consejo Superior de Investigaciones Cient\xc3\xadficas and Universidad Aut\xc3\xb3noma), Madrid, Spain. aldecastro@cbm.csic.es."""
555,university,"""Department of Hematology, Leiden University Medical Center, Leiden, the Netherlands."""
556,institute,"""Cellular Biology Section, Laboratory of Viral Diseases, National Institute of Allergy and Infectious Diseases, National Institutes of Health, Bethesda, MD 20892, USA. Electronic address: jyewdell@nih.gov."""
557,university,"""Department of Surgical Oncology, University of Paris, Institut Curie, Paris, France."""
558,hospital,"""Dengue Hemorrhagic Fever Research Unit, Office for Research and Development, Faculty of Medicine, Siriraj Hospital, Mahidol University, Bangkok, Thailand."""
559,university,"""Stanford University, School of Medicine, Department of Genetics and Stanford Genome Technology Center, Stanford, CA 94305, USA; European Molecular Biology Laboratory, Genome Biology Unit, 69117 Heidelberg, Germany."""
560,university,"""Universit\xc3\xa9 de Grenoble Alpes, Institut de Biologie Structurale, F-38044 Grenoble, France; Commissariat \xc3\xa0 l&#x27;\xc3\xa9nergie atomique et aux \xc3\xa9nergies alternatives, Direction des sciences du vivant, Institut de Biologie Structurale, F-38044 Grenoble, France; Centre national de la recherche scientifique, Institut de Biologie Structurale, F-38044 Grenoble, France; dominique.housset@ibs.fr."""
561,institute,"""Neuroimmunology Branch, National Institute of Neurological Disorders and Stroke, National Institutes of Health, Bethesda, MD 20892."""
562,private,"""Istituto di Biologia Cellulare, CNR, Rome, Italy."""
563,university,"""Department of Pathology, Johns Hopkins University School of Medicine, Baltimore, MD 21205, USA."""
564,university,"""Department of Microbiology and Immunology, University of Copenhagen, 1165 K\xc3\xb8benhavn, Denmark. sbuus@sund.ku.dk."""
565,university,"""Department of Immunology, University of Toronto, Toronto, ON, Canada."""
566,university,"""Quantitative Biology Center (QBiC), University of T\xc3\xbcbingen, Auf der Morgenstelle 10, D-72076, T\xc3\xbcbingen, Germany."""
567,university,"""From the Department of Microbiology and the Interdisciplinary Program in Immunology, University of Iowa, Iowa City, Iowa 52242."""
568,university,"""Center for Research on Reproduction and Women&#x27;s Health, University of Pennsylvania, 421 Curie Boulevard, Philadelphia, PA, 19104, USA."""
569,university,"""Immunology Unit, Department of Cell Biology, Physiology and Immunology and Institut de Biotecnologia i Biomedicina, Universitat Aut\xc3\xb2noma de Barcelona, 08193 Bellaterra, Spain."""
570,university,"""Department of Emergency and Critical Care Medicine, Hyogo Medical University, Hyogo, Japan."""
571,university,"""Department of Infectious Disease and Microbiology, University of Pittsburgh, Pittsburgh, Pennsylvania, United States of America ; Center for Vaccine Research, University of Pittsburgh, Pittsburgh, Pennsylvania, United States of America."""
572,institute,"""Research Network of Immunity and Health, Beijing Institutes of Life Science, Chinese Academy of Sciences."""
573,institute,"""Centre d&#x27;investigation Clinique en Bioth\xc3\xa9rapie, Institut Curie (CIC-BT1428), Paris, France."""
574,university,"""Institute for Immunology and Infectious Diseases, Murdoch University, Murdoch, Western Australia, Australia."""
575,university,"""Department of Surgery and the Cardinal Bernardin Cancer Center, Loyola University of Chicago, Maywood, IL, USA."""
576,private,"""Calico Life Sciences LLC, South San Francisco, 94080, CA, USA."""
577,university,"""Department of Microbiology, Zhongshan Medical School, Sun Yat-Sen University, Guangzhou, China."""
578,private,"""Medizinische Hochschule Hannover, Abt. Gastroenterologie, Hepatologie und Endokrinologie, Carl-Neuberg Strasse 1, 30625 Hannover, Germany."""
579,university,"""TB/HIV Research Laboratory, Brown University, Providence, RI 02906, USA. Anne_DeGroot@Brown.edu"""
580,university,"""Department of Chemistry, University of Konstanz, Konstanz, Germany."""
581,university,"""Department of Medicine II, University of Freiburg, Freiburg, Germany. Electronic address: christoph.neumann-haefelin@uniklinik-freiburg.de."""
582,university,"""Nuffield Department of Orthopaedics Rheumatology and Muscuoskeletal Science (NDORMS), Botnar Research Center, University of Oxford, Oxford, UK."""
583,institute,"""QIMR Berghofer Medical Research Institute and QIMR Berghofer Centre for Immunotherapy and Vaccine Development, Brisbane, Queensland 4006, Australia."""
584,private,"""Division of Developmental Immunology, Deutsches Krebsforschungszentrum, Heidelberg, Germany."""
585,university,"""Division of Urology, Department of Surgery, Genomics Center, and Department of Medicine, Beth Israel Deaconess Medical Center, Harvard Medical School, Boston, Massachusetts 02215, USA."""
586,university,"""Department of Immunology, Weizmann Institute of Science Rehovot, Israel."""
587,university,"""Doctoral Training Centre in Sustainable Chemical Technologies, University of Bath, Bath, United Kingdom."""
588,institute,"""GlaxoSmithKline, Medicines Research Centre, Stevenage, Hertfordshire SG1 2NY, United Kingdom."""
589,institute,"""Broad Institute of MIT and Harvard, Cambridge, MA, USA."""
590,university,"""Biophotonics Research Laboratory, Center for Interdisciplinary Biomedical Education and Research, College of Mathematics and Science, University of Central Oklahoma, Edmond, OK, USA."""
591,university,"""Department of Veterans Affairs, Tennessee Valley Healthcare System, Nashville, TN, USA."""
592,university,"""Department of Gynecologic Oncology, University of Texas, M.D. Anderson Cancer Center, Houston, USA."""
593,university,"""Institute of Infection and Immunity, Cardiff University School of Medicine, Cardiff, United Kingdom."""
594,hospital,"""Ludwig Cancer Research Center, University of Lausanne, Lausanne, Switzerland; Department of Oncology, Centre Hospitalier Universitaire Vaudois (CHUV), Lausanne, Switzerland."""
595,university,"""Department of Medical Oncology, Dana-Farber Cancer Institute and Department of Medicine, Harvard Medical School, Boston, MA, United States."""
596,hospital,"""Core Research Lab, the Second Affiliated Hospital, School of Medicine, Xi&#x27;an Jiaotong University, Xi&#x27;an, China m.garstka@xjtu.edu.cn."""
597,university,"""Charite-University Medicine Berlin, Institute of Physiology &amp; Experimental Clinical Research Center, Berlin, Germany; German Cancer Consortium (DKTK), Heidelberg, Germany."""
598,institute,"""National Centre for Scientific Research Demokritos, Patriarchou Gregoriou and Neapoleos 27, Agia Paraskevi, 15341, Athens, Greece."""
599,institute,"""Broad Institute of MIT and Harvard, Cambridge, MA 02142, USA."""
600,university,"""Biomolecular Mass Spectrometry and Proteomics, Bijvoet Center for Biomolecular Research and Utrecht Institute for Pharmaceutical Sciences, Utrecht University, Utrecht, The Netherlands. w.wu1@uu.nl."""
601,hospital,"""Massachusetts General Hospital Cancer Center and Department of Medicine, Harvard Medical School, Charlestown, Massachusetts."""
602,university,"""Department of Microbiology and Immunology, Duke University Medical Center, Durham, North Carolina 27710."""
603,hospital,"""Department of Pathology and Hepatology, Beijing 302 Hospital, Beijing, China."""
604,university,"""College of Laboratory Medicine and Life Sciences, Wenzhou Medical University, Wenzhou, Zhejiang, China."""
605,university,"""Department of Immunohematology &amp; Blood Transfusion, Leiden University Medical Center, 2300 RC Leiden, The Netherlands."""
606,university,"""Department of Obstetrics and Gynecology, Nagoya University Graduate School of Medicine, Nagoya, Japan."""
607,hospital,"""Department of Clinical Laboratory, Third Xiangya Hospital, Central South University, Changsha, China."""
608,university,"""Department of Microbiology, College of Physicians and Surgeons, Columbia University, New York, New York 10032."""
609,university,"""Department of Medicine."""
610,hospital,"""Department of Immunology, St Jude Children&#x27;s Research Hospital, Memphis, Tennessee, 38105, USA."""
611,university,"""University of T\xc3\xbcbingen, Center for Bioinformatics, Sand 14, 72076 T\xc3\xbcbingen, Germany; University of T\xc3\xbcbingen, Dept. of Computer Science, Sand 14, 72076 T\xc3\xbcbingen, Germany."""
612,university,"""Sir William Dunn School of Pathology, University of Oxford, Oxford OX1 3RE, UK."""
613,hospital,"""Department of Medicine I, University Hospital Bochum (BG Kliniken Bergmannsheil), Bochum, Germany."""
614,institute,"""Australian Centre for Vaccine Development and Division of Infectious Diseases and Immunology, Queensland Institute of Medical Research, Brisbane, Australia."""
615,university,"""Department of Infectious Diseases, Medical Academy, Lithuanian University of Health Sciences, 47116 Kaunas, Lithuania."""
616,university,"""Institute of Infection and Immunity, Cardiff University School of Medicine,Heath Park, Cardiff CF14 4XN, UK."""
617,university,"""\xc2\xa7\xc2\xa7Universit\xc3\xa9 de Gen\xc3\xa8ve, Rue Gabrielle Perret Gentil 4; 1211 Geneve 14, Switzerland."""
618,university,"""From the \xe2\x80\xa1Department of Biology, Technion, Israel Institute of Technology, Haifa 32000, Israel; admon@technion.ac.il."""
619,university,"""School of Applied Biomedical Sciences, Federation University, Churchill, Victoria, Australia."""
620,university,"""Laboratory of Experimental Immunology, Faculty of Health Sciences, University of Copenhagen, Copenhagen, Denmark."""
621,university,"""Department of Drug Design and Pharmacology, Faculty of Health and Medical Sciences, University of Copenhagen, Copenhagen, Denmark."""
622,private,"""Singapore Immunology Network, Agency for Science, Technology and Research (A*STAR), 8A Biomedical Grove, #03-06 Immunos, Singapore, 138648, Singapore."""
623,university,"""Institute of Health and Biomedical Innovation and Australian Prostate Cancer Research Centre-Queensland, Queensland University of Technology, Brisbane, QLD, Australia."""
624,university,"""Department of Biochemistry and Molecular Biology, School of Biomedical Sciences, Monash University, Clayton, Victoria 3800, Australia; Australian Research Council Centre of Excellence in Advanced Molecular Imaging, Monash University, Clayton, Victoria 3800, Australia; Institute of Infection and Immunity, Cardiff University, School of Medicine, Heath Park, Cardiff CF14 4XN, United Kingdom; mandvi@unimelb.edu.au jamesm1@unimelb.edu.au Jamie.Rossjohn@monash.edu."""
625,institute,"""Centre for Immunotherapy and Vaccine Development, Queensland Institute of Medical Research, Brisbane, Queensland 4029, Australia."""
626,university,"""Department of Microbiology and Immunology, Peter Doherty Institute for Infection and Immunity and Australian Research Council Centre of Excellence in Advanced Molecular Imaging, University of Melbourne, Parkville, Victoria 3010, Australia."""
627,university,"""Infection and Immunity Program, Biomedicine Discovery Institute, Monash University, Clayton, Victoria 3800, Australia Department of Biochemistry and Molecular Biology, Monash University, Clayton, Victoria 3800, Australia Australian Research Council Centre of Excellence in Advanced Molecular Imaging, Monash University, Clayton, Victoria 3800, Australia."""
628,hospital,"""BMT and Cell Therapies Program, Westmead Hospital, Westmead, New South Wales, Australia."""
629,university,"""School of Public Health and Preventive Medicine, Monash University, Melbourne, VIC, Australia."""
630,hospital,"""Dendritic Cell Biology and Therapeutics, ANZAC Research Institute, Concord Hospital, Hospital Road, Sydney, NSW, 2139, Australia."""
631,university,"""Infection and Immunity Program and The Department of Biochemistry and Molecular Biology, Biomedicine Discovery Institute, Monash University, Clayton, VIC, 3800, Australia."""
632,university,"""Department of Computer Science, University of California, Santa Cruz, Santa Cruz, CA, United States."""
633,university,"""Tumor Immunotherapy Program, Princess Margaret Cancer Centre, University Health Network, Toronto, Ontario, Canada; and."""
634,university,"""Department of Biochemistry and Genetics, La Trobe Institute for Molecular Science, La Trobe University, Bundoora, VIC 3086, Australia."""
635,university,"""Department of Biomedical Informatics, Harvard Medical School, Boston, MA, USA."""
636,university,"""Department of Microbiology &amp; Immunology, University of Oklahoma Health Sciences Center, Oklahoma City, OK 73104, USA."""
637,private,"""Immunocore Ltd., 92 Park Drive, Milton Park, Abingdon, OX14 4RY, USA. andrew.whale@immunocore.com."""
638,university,"""Department of Molecular Cell Biology, Leiden University Medical Center, Leiden, the Netherlands."""
639,university,"""Departamento de Inmunolog\xc3\xada, Facultad de Medicina, Universidad Complutense de Madrid, Madrid, Spain."""
640,institute,"""QIMR Berghofer Centre for Immunotherapy and Vaccine Development, QIMR Berghofer Medical Research Institute, Brisbane, Queensland, Australia."""
641,university,"""Department of Pathology, Amsterdam University Medical Centers, Amsterdam, Netherlands."""
642,university,"""Barbara Davis Center for Childhood Diabetes, University of Colorado School of Medicine, Aurora, CO."""
643,institute,"""Division of Cell Biology II, The Netherlands Cancer Institute, Plesmanlaan 121, 1066 CX Amsterdam, The Netherlands."""
644,university,"""Department of Immunology &amp; Microbiology, University of Colorado, Denver, CO, United States."""
645,private,"""Proteomics Unit, Centro Nacional de Biotecnolog\xc3\xada (CSIC), 28049 Madrid, Spain;"""
646,university,"""Institute of Immunology, University of Mainz, Mainz, Germany."""
647,university,"""Department of Chemistry and Biochemistry and the Harper Cancer Research Institute, University of Notre Dame, 1234 Notre Dame Avenue, South Bend, IN 46557, USA."""
648,university,"""Central Hematology Laboratory, University Medical Center St. Radboud, Geert Grooteplein 8, PO Box 9101, 6500 HB Nijmegen, The Netherlands. h.dolstra@chl.azn.nl"""
649,hospital,"""Department of Cancer Immunology, Oslo University Hospital Radiumhospitalet, Oslo, Norway. K. G. Jebsen Centers for Cancer Immunotherapy and for Inflammation Research, Institute for Clinical Medicine, University of Oslo, Oslo, Norway."""
650,university,"""University of T\xc3\xbcbingen, Center for Bioinformatics, Sand 14, 72076 T\xc3\xbcbingen, Germany; University of T\xc3\xbcbingen, Dept. of Computer Science, Sand 14, 72076 T\xc3\xbcbingen, Germany; University of T\xc3\xbcbingen, Quantitative Biology Center (QBiC), Auf der Morgenstelle 10, 72076 T\xc3\xbcbingen, Germany; Max Planck Institute for Developmental Biology, Spemannstr. 35, 72076 T\xc3\xbcbingen, Germany; German Cancer Consortium (DKTK) and German Cancer Research Center (DKFZ) partner site T\xc3\xbcbingen, Germany."""
651,hospital,"""Department of Internal Medicine, University of Iowa Hospital and Clinics and VA Medical Center, Iowa City, IA, USA."""
652,university,"""Infection and Immunity Program and Department of Biochemistry and Molecular Biology, Biomedicine Discovery Institute, Monash University, Clayton, Victoria 3800, Australia. anthony.purcell@monash.edu nathan.croft@monash.edu."""
653,university,"""Department of Biochemistry and Molecular Biology, Infection and Immunity Program, Biomedicine Discovery Institute, Monash University, Clayton, VIC, Australia."""
654,university,"""Department of Biology, Technion - Israel Institute of Technology, Haifa, Israel."""
655,university,"""School of Medicine, Jinan University, Guangzhou 510000, China."""
656,university,"""Department of Training and Research, CHUV/UNIL Agora Center, Rue du Bugnon 25A, 1005, Lausanne, Switzerland."""
657,university,"""Department of Oncology and Pathology, Cancer Center Karolinska R8:01, Immune and Gene Therapy Laboratory, Karolinska Institute, 171 76 Stockholm, Sweden. kajsa.lundberg@ki.se"""
658,institute,"""Structural Biology Section, Laboratory of Immunogenetics, National Institute of Allergy and Infectious Diseases, National Institutes of Health, Rockville, Maryland 20852, USA."""
659,university,"""Second Department of Internal Medicine, Faculty of Medical Sciences, University of Fukui, Fukui, Japan."""
660,university,"""Centro de Biolog\xc3\xada Molecular Severo Ochoa (CSIC-UAM), Universidad Aut\xc3\xb3noma de Madrid, Facultad de Ciencias, Spain."""
661,hospital,"""Institute of Transfusion Medicine, University of Duisburg-Essen, University Hospital, Essen, Germany."""
662,institute,"""Institute for Stem Cell and Regeneration, Chinese Academy of Sciences, Beijing, 100101, China."""
663,institute,"""Medical Biotechnology Unit, National Center for Genetic Engineering and Biotechnology, National Science and Technology Development Agency, Pathum Thani, Thailand."""
664,hospital,"""Department of Oncology, Centre hospitalier universitaire vaudois (CHUV), Rue du Bugnon 46, 1011, Lausanne, Switzerland."""
665,university,"""Cambridge Institute for Medical Research, University of Cambridge, Cambridge, United Kingdom."""
666,institute,"""CAS Key Laboratory of Pathogen Microbiology and Immunology, Institute of Microbiology, Chinese Academy of Sciences (CAS), Beijing 100101, China."""
667,university,"""School of Biochemistry, University of Bristol, UK."""
668,university,"""Department of Microbiology and Immunology, University of North Carolina, Chapel Hill 27599-7290, USA. collins1@med.unc.edu"""
669,university,"""Department of Microbiology and Immunology Programme, National University of Singapore (NUS), Life Sciences Institute, #03-05, 28 Medical Drive, 117456 (Singapore)."""
670,university,"""Savaid Medical School, University of Chinese Academy of Sciences, Beijing 100049, China."""
671,private,"""MBL International, 15A Constitution Way, Woburn, MA 01801, United States. Electronic address: marc.delcommenne@mblintl.com."""
672,university,"""Department of Bioengineering, Zhengzhou University, Zhengzhou 450001, China."""
673,institute,"""Molecular Immunology Section, National Institute of Neurological Disorders and Stroke, National Institutes of Health, Bethesda, MD 20892."""
674,institute,"""Institute of Protein Biochemistry-National Research Council, 80131 Naples, Italy."""
675,private,"""Lineberger Comprehensive Cancer Center, Chapel Hill, North Carolina."""
676,university,"""Department of Medicine, Section of Infectious Diseases, University Medical Center Hamburg-Eppendorf, Hamburg, Germany."""
677,hospital,"""Department of Pathology, St Jude Children&#x27;s Research Hospital, Memphis, Tennessee, 38105, USA."""
678,institute,"""Surgery Branch, National Cancer Institute, NIH, Bethesda, MD 20852."""
679,university,"""Department of Microbiology and Immunology, University of Melbourne, at the Peter Doherty Institute for Infection and Immunity, Melbourne, VIC 3000, Australia; pcd@unimelb.edu.au stephanie.gras@monash.edu kkedz@unimelb.edu.au."""
680,university,"""School of Life Sciences, University of Science and Technology of China, Hefei, 230027, China. jwang@crystal.harvard.edu."""
681,university,"""Departments of Structural Biology and Microbiology &amp; Immunology, School of Medicine, Stanford University, Stanford, 94305, CA, USA."""
682,university,"""Institute of Biomedical and Clinical Science, University of Exeter Medical School, Exeter, U.K."""
683,hospital,"""Department of Public Health, The Third People&#x27;s Hospital of Linyi, Linyi 276023, China."""
684,university,"""Department of Microbiology, Nanjing Center for Disease Prevention and Control, Zizhulin 2, Nanjing 210003, China."""
685,hospital,"""Institute of Surgical Research and Hospital Management, University Hospital Basel, Switzerland. mprovenzano@uhbs.ch"""
686,university,"""Laboratory of Cell Regulation and Molecular Network, Graduate School of Biostudies, Kyoto University, Yoshida-Konoe-cho, Sakyo-ku, Kyoto 606-8501, Japan."""
687,private,"""Blood Component Preparation Section, Jiangsu Province Blood Center, Nanjing, 210042, Jiangsu, China."""
688,university,"""Laboratory of Cellular and Molecular Immunology, Gavin Herbert Eye Institute, University of California Irvine School of Medicine, Irvine, CA 92697;"""
689,university,"""Department of Pathology, Johns Hopkins University School of Medicine, Baltimore, MD, USA."""
690,private,"""Infection Prevention and Healthcare Epidemiology Unit, Alfred Health, Melbourne, Victoria, Australia."""
691,university,"""Department of Microchemistry, Proteomics and Lipidomics, Genentech, South San Francisco, CA, United States."""
692,university,"""Department of Chemistry, National and Kapodistrian University of Athens, Panepistimiopolis Zografou, Greece."""
693,university,"""CNRS (Centre National de la Recherche Scientifique) UMR 8122, Gustave Roussy, Facult\xc3\xa9 de M\xc3\xa9decine, Univ. Paris-Sud, Universit\xc3\xa9 Paris-Saclay, 94805, Villejuif, France."""
694,institute,"""Institute for Systems Biology, Seattle, United States."""
695,university,"""Protein Crystallography Unit, Department of Biochemistry and Molecular Biology, School of Biomedical Sciences, Monash University, Victoria 3800, Australia."""
696,university,"""Department of Pathology, University of Cambridge, Cambridge, United Kingdom."""
697,university,"""Department of Internal Medicine, University of Texas Southwestern Medical Center, Dallas, USA."""
698,university,"""Department of Bioinformatics, University of Duisburg-Essen, Essen, Germany."""
699,private,"""Service d&#x27;Anatomie Pathologique, Centre Chirurgical Marie-Lannelongue, 92350, Le-Plessis-Robinson, France."""
700,university,"""Department of Dermatology and Skin Science, University of British Columbia, Vancouver, British Columbia, Canada."""
701,university,"""Core Facility Experimental Pathology, School of Medicine, Klinikum rechts der Isar der Technischen Universit\xc3\xa4t M\xc3\xbcnchen, M\xc3\xbcnchen, Germany."""
702,hospital,"""Department of Hepatobiliary Surgery and Fujian Institute of Hepatobiliary Surgery, Fujian Medical University Union Hospital, NO. 29, Xinquan Road, Fuzhou, Fujian 350001, China."""
703,university,"""Institute for Life Sciences and Centre for Cancer Immunology, Faculty of Medicine, University of Southampton, Southampton, United Kingdom."""
704,university,"""INSERM U830, PSL University, Institut Curie, Paris, France, and Department of Translational Research, PSL University, Institut Curie, Paris, France."""
705,institute,"""QIMR Berghofer Centre for Immunotherapy and Vaccine Development and Translational and Human Immunology Laboratory, Infection and Inflammation Program, QIMR Berghofer Medical Research Institute, Herston, QLD, 4006, Australia. corey.smith@qimrberghofer.edu.au."""
706,university,"""Department of Immunology and Department of Urology, Kurume University School of Medicine, Kurume, Fukuoka 830-0011, Japan."""
707,private,"""Center for Cell Engineering, Memorial Sloan Kettering Cancer Center, New York, NY, USA."""
708,university,"""Centro de Biologia Molecular Severo Ochoa (C.S.I.C.-U.A.M.), Universidad Aut\xc3\xb3noma de Madrid, Facultad de Ciencias, Madrid, Spain."""
709,university,"""Center for Proteomics &amp;Metabolomics, Leiden University Medical Center, Leiden, the Netherlands."""
710,university,"""Dept of Pharmacology, University of Oxford, Mansfield Road, Oxford, OX1 3QT, UK."""
711,university,"""Department of Biology and Biotechnology (DIBIT), Istituto Scientifico H.S. Raffaele, Milano, Italy."""
712,university,"""Department of Medicine, University of Wisconsin, Madison, WI 53792, USA."""
713,institute,"""Translational Oncogenomics Lab, Centre for Evolution and Cancer, The Institute of Cancer Research, 237 Fulham Road, London, SW3 6JB, UK."""
714,private,"""Laboratory for Immunotherapy, RIKEN Center for Integrative Medical Science (IMS), Yokohama, Japan."""
715,university,"""Department of Infectious Diseases, MD Anderson Cancer Center, Houston, TX, USA."""
716,institute,"""Division of Molecular Oncology and Immunology, The Netherlands Cancer Institute, Amsterdam, The Netherlands."""
717,university,"""Department of Structural Biology, Stanford University School of Medicine, Stanford, CA, USA."""
718,institute,"""Laboratoire d&#x27;immunologie clinique, Institut Curie, Paris, France."""
719,hospital,"""Ringhospitalet, Copenhagen, Denmark."""
720,university,"""Department of Immunohematology and Blood Transfusion, Leiden University Medical Center, Leiden, The Netherlands4."""
721,university,"""Broad Institute of MIT and Harvard, Cambridge, MA 02142, USA; Department of Organismic and Evolutionary Biology, Harvard University, Cambridge, MA 02138, USA; Massachusetts Consortium on Pathogen Readiness, Boston, MA, USA; Department of Immunology and Infectious Disease, Harvard T.H. Chan School of Public Health, Boston, MA, USA; Howard Hughes Medical Institute, Chevy Chase, MD 20815, USA."""
722,private,"""Sanofi Pasteur, VaxDesign Campus, Orlando, FL, United States."""
723,university,"""the Infection and Immunity Program and Department of Biochemistry and Molecular Biology, Biomedicine Discovery Institute, and; the Australian Research Council Centre of Excellence for Advanced Molecular Imaging, Monash University, Clayton, Victoria 3800, Australia."""
724,university,"""Proteomics Shared Resource, Oregon Health and Science University, Portland, OR, United States."""
725,university,"""From the Dipartimento di Bioscienze, Universit\xc3\xa0 di Milano, Via Celoria 26, 20133 Milano, Italy."""
726,university,"""Laboratory of Protein Biochemistry, Institute for Chemistry and Biochemistry, Freie Universit\xc3\xa4t Berlin, Berlin, Germany."""
727,university,"""Key Laboratory for Tropic Diseases Control, Ministry of Education of China, Department of Microbiology, Zhongshan School of Medicine, Sun Yat-sen University, Guangzhou 510080, China."""
728,university,"""Department of Food Science and Technology, University of Nebraska, Lincoln, NE 68588."""
729,institute,"""Indiana Biosciences Research Institute, Indianapolis, IN."""
730,university,"""Department of Immunology and Microbiology, University of Colorado School of Medicine, Aurora, CO, 80045, USA."""
731,university,"""School of Biochemistry, University of Bristol, Bristol, United Kingdom."""
732,university,"""Department of Pharmaceutical Chemistry, University of California, San Francisco, San Francisco, CA 94158, USA. Electronic address: charles.craik@ucsf.edu."""
733,university,"""ESPCI Paris, PSL University, Spectrom\xc3\xa9trie de Masse Biologique et Prot\xc3\xa9omique, CNRS USR3149, 75005 Paris, France."""
734,private,"""Perlmutter Cancer Center at NYU Langone Medical Center, New York, New York, USA."""
735,hospital,"""Department of Microbiology, The Chinese University of Hong Kong, Prince of Wales Hospital, Shatin, New Territories, Hong Kong Special Administrative Region, China. paulkschan@cuhk.edu.hk"""
736,private,"""Evaxion Biotech, Bredgade 34E, 1260, Copenhagen, Denmark. jkgm@evaxion-biotech.com."""
737,university,"""Genomics of Adaptive Immunity Department, Shemyakin-Ovchinnikov Institute of Bioorganic Chemistry, Moscow, Russian Federation."""
738,university,"""NDM Research Building, Nuffield Department of Medicine, University of Oxford, Oxford, UK. andrew.mcmichael@ndm.ox.ac.uk."""
739,university,"""Department of Molecular and Cellular Biology, Howard Hughes Medical Institute, Harvard University, Cambridge, MA 02138."""
740,institute,"""SIB Swiss Institute of Bioinformatics, Lausanne, Switzerland."""
741,hospital,"""Center for Cancer Research, Massachusetts General Hospital, Boston, MA, USA."""
742,university,"""School of Biomedical Sciences, The University of Queensland, Brisbane, Queensland, Australia."""
743,institute,"""Center for Infectious Disease, Division of Vaccine Discovery, La Jolla Institute for Allergy and Immunology, La Jolla, CA."""
744,university,"""Department of Immunology, Weizmann Institute of Science, Rehovot, Israel."""
745,institute,"""Howard Hughes Medical Institute, Chevy Chase, MD 20815, USA."""
746,university,"""Department of Hematopoiesis, Sanquin Research and Landsteiner Laboratory, Amsterdam UMC, University of Amsterdam, Amsterdam, The Netherlands."""
747,university,"""University of T\xc3\xbcbingen, Interfaculty Institute for Cell Biology, Department of Immunology, T\xc3\xbcbingen, Germany."""
748,university,"""Division of Molecular Virology, Department of Clinical and Experimental Medicine, Link\xc3\xb6ping University, S-581 83 Link\xc3\xb6ping, Sweden."""
749,university,"""Department of Biochemistry and Molecular Biology, School of Biomedical Sciences, Monash University, Clayton 3800, Australia."""
750,university,"""Kumamoto University, Japan."""
751,university,"""Department of Medicine, Johns Hopkins Medical Institutions, Baltimore, MD 21231, USA. acox@jhmi.edu"""
752,university,"""From the Department of Microbiology and."""
753,institute,"""Vaccine Branch, Center for Cancer Research, National Cancer Institute, National Institutes of Health, Bethesda, MD 20892-1578, USA."""
754,private,"""Philochem AG, Otelfingen, Switzerland."""
755,university,"""Biomolecular Mass Spectrometry and Proteomics, Bijvoet Center for Biomolecular Research and Utrecht Institute for Pharmaceutical Sciences, Utrecht University , Padualaan 8, 3584 CH Utrecht, The Netherlands."""
756,university,"""Department of Microbiology, All India Institute of Medical Sciences, Patna, 801507, Bihar, India."""
757,private,"""Weill Cornell Medicine, New York, New York, USA."""
758,university,"""Department of Chemistry and Biochemistry, University of California, Santa Cruz, Santa Cruz, CA, United States."""
759,university,"""Division of Hematology, Department Medicine, University of Washington, Seattle, WA."""
760,university,"""Institute of Molecular Immunology/Experimental Oncology, Klinikum rechts der Isar, Technische Universit\xc3\xa4t M\xc3\xbcnchen , Munich, Germany."""
761,hospital,"""Department of Medicine, Monash University, Central Clinical School, The Alfred Hospital, Melbourne, VIC, Australia."""
